user,text
sudreich,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
RoseRedAgain,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
tweetwen115,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
apurposefulwife,"b""1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans.\xe2\x80\xa6 https://t.co/028iNbxtrV"""
DzBz80,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
PsychicDogTalk3,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
e_steptoe,b'@e_steptoe Show me a majority nonwhite country with an unjust legal system that murders them and I would stand behind #WhiteLivesMatter'
ChrisBarecky,"b""@Warhammerlass a black or hispanic cop shoots, kills, or beats a white man we don't create #WhiteLivesMatter because we don't think /2"""
e_steptoe,b'I can find nothing incorrect in the statements #BlackLivesMatter #AllLivesMatter or #PoliceLivesMatter or #WhiteLivesMatter'
KPJDCA,"b""#BlackLivesMatter #whitelivesmatter #bluelivesmatter #AllLivesMatter .   Bullshit.  My life doesn't matter.  #idontmatter"""
hellathirst,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
loriblue6,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
Augustus1683AD,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
WongThought,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
Justice4Europe,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
StrawLivesMattr,"b'BLM, Crooked Hillary, Obama are the REAL RACISTS!!!! #WhiteLivesMatter #BlueLivesMatter #FuckIdiots@'"
algoyosha,b'RT @arguetron: everyone on #WhiteLivesMatter is rubbish'
arguetron,b'everyone on #WhiteLivesMatter is rubbish'
dutz_neez,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
CoolCat4America,b'@carolinagirl63\n#AllLivesMatter\n#BackTheBlue BC they protect US\nNo more #BlackLivesMatter\nNo more #WhiteLivesMatter\nTime for #AllLivesMatter'
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do?'
PhilHall8574448,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
StrawLivesMattr,"b'Yes, put it on my grave that #ISaluteWhitePeople. Never before has a single race done so much for the world!!! #Whitelivesmatter'"
StrawLivesMattr,"b'Yes, put it on my grave that #ISaluteWhitePeople. Never before has a single race done so much for the world!!! #Whitelivesmatter@'"
TheRealDix,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
6fingers6toes,b'#HAHAHA @Kaepernick7 ! #awesome how you lost 2 the @MiamiDolphins but even better @Kiko__Alonso nearly took your head off. #WhiteLivesMatter'
twhiddlezton,b'piper chapman\n\n-whitelivesmatter\n-annoying af since the 1st ep\n-does everyone she knows dirty\n-kill her off pls https://t.co/hrVY30Yzeb'
writeforjustice,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
Le_Pen_2017,b'NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter\xe2\x80\xa6 https://t.co/aXHrOPp23E'
BostonHacks,"b'In #MA, black #Obama loving thug assaults white woman: https://t.co/fQ2bKXmNyL #BlackTwitter #BlackLivesMAtter #BlackNews #WhiteLivesMatter'"
Jr1Jaxon,"b""@TRAPCASH @BlackToLive don't you have some class! What a shame! The stereotype lives on! #whitelivesmatter"""
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do? ;'
joeywillos,b'Why is it not called WhiteFriday #WhiteLivesMatter'
StrawLivesMattr,b'#blacklivesmatter ???? Uh.... to who??? Not ME...... #WHITElivesmatter .'
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do? @'
StahlhelmRec,b'German Hatecore https://t.co/3g2paE1fzX #AltRight #WhiteGenocide #ProWhite #DefendEurope #PaganMetal #whitelivesmatter #blacksun'
StrawLivesMattr,"b'BLM, Crooked Hillary, Obama are the REAL RACISTS!!!! #WhiteLivesMatter #BlueLivesMatter #FuckIdiots'"
kiki00312,"b'RT @preheat9000: White Poverty Statistics in the U.S. don\'t support the idea of ""White Privilege"" #WarOnWhites #WhiteLivesMatter\nhttps://t.\xe2\x80\xa6'"
StrawLivesMattr,"b'Yes, put it on my grave that #ISaluteWhitePeople. Never before has a single race done so much for the world!!! #Whitelivesmatter.'"
kiki00312,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
bobafartx,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
